City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Anadyr,RU,64.75,177.48,8.6,84,20,6.71,few clouds
343,Lethem,GY,3.38,-59.8,83.34,60,2,6.22,clear sky
344,Hofn,IS,64.25,-15.21,42.75,64,100,17.74,light rain
345,Sao Joao Da Barra,BR,-21.64,-41.05,70.61,88,100,13.27,overcast clouds
346,Aklavik,CA,68.22,-135.01,-0.4,84,75,1.12,broken clouds
347,Nuevitas,CU,21.55,-77.26,75.2,94,91,3.36,light rain
348,Ostrovnoy,RU,68.05,39.51,27.72,95,100,19.66,overcast clouds
349,Verkhoyansk,RU,67.54,133.38,-6.57,88,92,3.47,overcast clouds
350,Bakchar,RU,57.02,82.07,34.36,90,100,11.81,overcast clouds
351,Semenyih,MY,2.95,101.84,80.6,83,20,8.05,shower rain
352,Monrovia,LR,6.3,-10.8,78.21,87,1,5.82,light rain
353,Sangueya,GN,10.7,-14.37,75.0,92,76,2.55,broken clouds
354,Mugan,CN,35.94,101.38,38.05,70,100,2.48,overcast clouds
355,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,44.6,56,40,11.18,scattered clouds
356,Ust-Tsilma,RU,65.44,52.15,33.4,93,95,8.55,overcast clouds
357,Port Hedland,AU,-20.32,118.57,87.8,55,0,12.75,clear sky
358,Kastamonu,TR,41.5,33.67,41.76,89,9,2.28,clear sky
359,Mormugao,IN,15.4,73.8,78.8,94,40,3.36,mist
360,Do Gonbadan,IR,30.36,50.8,53.6,51,0,2.21,clear sky
361,Cubuk,TR,40.24,33.03,44.01,93,0,2.24,clear sky
